state,x,y
Adana,13,-64
Adıyaman,110,-42
Afyon,-168,-6
Ağrı,268,39
Aksaray,-55,-8
Amasya,17,88
Ankara,-92,62
Antalya,-150,-83
Ardahan,273,107
Artvin,217,108
Aydın,-250,-41
Balıkesir,-259,44
Bartın,-96,130
Batman,212,-44
Bayburt,167,68
Bilecik,-187,59
Bingöl,188,13
Bitlis,255,-13
Bolu,-134,81
Burdur,-184,-57
Bursa,-207,32
Çanakkale,-306,58
Çankırı,-66,83
Çorum,-20,82
Denizli,-214,-49
Diyarbakır,180,-26
Düzce,-171,91
Edirne,-310,102
Elazığ,153,-7
Erzincan,130,38
Erzurum,222,65
Eskişehir,-143,30
Gaziantep,72,-74
Giresun,119,90
Gümüşhane,142,70
Hakkari,307,-63
Hatay,35,-100
Iğdır,299,50
Isparta,-159,-37
İstanbul,-226,110
İzmir,-279,-22
Kahramanmaraş,58,-58
Karabük,-94,106
Karaman,-68,-72
Kars,276,83
Kastamonu,-58,123
Kayseri,28,-2
Kırıkkale,-53,45
Kırklareli,-270,139
Kırşehir,-49,31
Kilis,60,-88
Kocaeli,-189,95
Konya,-111,-50
Kütahya,-201,22
Malatya,93,-11
Manisa,-247,5
Mardin,195,-64
Mersin,-52,-92
Muğla,-235,-77
Muş,243,14
Nevşehir,-17,-2
Niğde,-19,-37
Ordu,72,93
Osmaniye,39,-71
Rize,191,94
Sakarya,-171,83
Samsun,12,105
Siirt,239,-38
Sinop,-8,125
Sivas,74,38
Şanlıurfa,136,-80
Şırnak,244,-68
Tekirdağ,-281,102
Tokat,40,74
Trabzon,157,95
Tunceli,141,23
Uşak,-202,-11
Van,295,-9
Yalova,-211,84
Yozgat,-2,46
Zonguldak,-128,113
